file_id,file_name,file_type,source,file_path,size_kb,created_at
39,20082776.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20082776.pdf,31.38,2026-06-13 20:08:09
40,20253563.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20253563.pdf,19.32,2026-06-13 20:08:09
41,20345168.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20345168.pdf,20.19,2026-06-13 20:08:09
42,20393721.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20393721.pdf,20.75,2026-06-13 20:08:09
43,20624984.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/20624984.pdf,22.01,2026-06-13 20:08:09
44,21031285.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21031285.pdf,21.95,2026-06-13 20:08:09
45,21338490.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21338490.pdf,21.72,2026-06-13 20:08:09
46,21763056.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21763056.pdf,22.46,2026-06-13 20:08:09
47,21794875.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21794875.pdf,50.73,2026-06-13 20:08:09
48,21853199.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/21853199.pdf,22.96,2026-06-13 20:08:09
49,22465498.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/22465498.pdf,27.42,2026-06-13 20:08:09
50,22925443.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/22925443.pdf,30.28,2026-06-13 20:08:09
51,23139819.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23139819.pdf,23.87,2026-06-13 20:08:09
52,23246831.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23246831.pdf,31.31,2026-06-13 20:08:09
53,23387174.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23387174.pdf,23.9,2026-06-13 20:08:09
54,23416654.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23416654.pdf,22.81,2026-06-13 20:08:09
55,23438112.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23438112.pdf,22.2,2026-06-13 20:08:09
56,23513618.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23513618.pdf,23.38,2026-06-13 20:08:09
57,23636277.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23636277.pdf,23.96,2026-06-13 20:08:09
58,23734441.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/23734441.pdf,21.99,2026-06-13 20:08:09
59,24103168.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/24103168.pdf,22.68,2026-06-13 20:08:09
60,24294778.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/24294778.pdf,36.78,2026-06-13 20:08:09
61,24703009.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/24703009.pdf,22.67,2026-06-13 20:08:09
62,24799301.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/24799301.pdf,14.32,2026-06-13 20:08:09
63,24817041.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/24817041.pdf,17.22,2026-06-13 20:08:09
64,25067742.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25067742.pdf,25.22,2026-06-13 20:08:09
65,25127518.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25127518.pdf,19.63,2026-06-13 20:08:09
66,25462793.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25462793.pdf,18.65,2026-06-13 20:08:09
67,25547145.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/25547145.pdf,23.8,2026-06-13 20:08:09
